Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
Banana Cream Pi,1 oz Malibu Rum,1 oz Banana Liqueur,Top Pineapple Juice,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/m5p67n1582474609.jpg
Banana Daiquiri,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,1 1/2 oz,1 tblsp,1,1 1/2 oz,1 tsp,1,,,https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg
Banana Milk Shake,Milk,Orange juice,Sugar syrup,Banana,,,,,10 cl cold,4 cl,2 tsp,1/2,,,,,https://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg
Banana Strawberry Shake,Strawberries,Banana,Yoghurt,Milk, to taste Honey,,,,1/2 lb frozen,1 frozen,1 cup plain,1 cup,,,,,https://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg
Banana Strawberry Shake Daiquiri-type,Strawberries,Banana,Apple juice,,,,,,1/2 lb frozen,1 frozen,2 cups fresh,,,,,,https://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg
Barracuda,4.5 cl Rum,1.5 cl Galliano,6 cl Pineapple Juice, 1 dash Lime Juice,Prosecco,,,,,,,,top up,,,,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
Bee's Knees,6 cl Gold rum,2 cl Orange Juice,2 cl Lime Juice,2 jiggers Triple Sec,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg
Belgian Blue,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,2 cl,1 cl,1 cl,Fill with,,,,,https://www.thecocktaildb.com/images/media/drink/jylbrq1582580066.jpg
Bellini,Champagne,Peach schnapps,,,,,,,6 oz,1 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
Bellini Martini,8 cubes Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,3 oz,1.5 oz,1.5 oz,1,,,,https://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg
Bermuda Highball,Brandy,Gin,Dry Vermouth, Carbonated water, Lemon peel,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg
Berry Deadly,Everclear,Wine,Orange juice,Kool-Aid,,,,,2 pint,1 bottle Boone Strawberry Hill,1/2 gal,1 gal Tropical Berry,,,,,https://www.thecocktaildb.com/images/media/drink/zk74k21593351065.jpg
Between The Sheets,Brandy,Light rum,Triple sec,Lemon juice,,,,,1 oz,1 oz,1 oz,1 oz,,,,,https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg
Bible Belt,Southern Comfort,Triple sec,Lime,Sour mix,,,,,2 oz,1/2 oz,2 wedges,2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg
Big Red,Irish cream,Goldschlager,,,,,,,1/2 oz,1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg
Bijou,1 dash Orange Bitters,1 oz Green Chartreuse,1 oz Gin,1 oz Sweet Vermouth,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg
Black & Tan,Ale,Guinness stout,,,,,,,1 part Bass pale,1 part,,,,,,,https://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg
Black and Brown,Guinness stout,Root beer,,,,,,,1/2,1/2,,,,,,,https://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg
Black Forest Shake,cubes Ice, Chocolate syrup, Cherry brandy, Vodka, Milk,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg
Black Russian,Coffee liqueur,Vodka,,,,,,,3/4 oz,1 1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg
